spread,keywords
celtic cross,heart of the matter/present environment/primary factor
celtic cross,opposing factor/factor for change/secondary factor/reinforcing factor
celtic cross,root cause/unconscious influence/deeper meaning/unknown factor
celtic cross,past/receding influence/resolved factor/quality to let go
celtic cross,attitudes and beliefs/conscious influence/goal or purpose/alternate future
celtic cross,future/approaching influence/unresolved factor/quality to embrace
celtic cross,you as you: are/could be/present yourself/see yourself
celtic cross,outside environment/another's point of view/another's expectations/you as others see you
celtic cross,guidance/key factor/hopes and fears/overlooked factor
celtic cross,outcome: overall/inner state/actions/effects
