influencee,influencer,keyword
10 of cups,devil,opposing
10 of cups,tower,opposing
10 of cups,3 of swords,opposing
10 of cups,9 of swords,opposing
10 of cups,10 of swords,opposing
10 of cups,lovers,reinforcing
10 of cups,star,reinforcing
10 of cups,world,reinforcing
10 of cups,6 of cups,reinforcing
9 of cups,hermit,opposing
9 of cups,5 of cups,opposing
9 of cups,empress,reinforcing
9 of cups,lovers,reinforcing
9 of cups,world,reinforcing
9 of cups,6 of wands,reinforcing
9 of cups,7 of cups,reinforcing
8 of cups,strength,opposing
8 of cups,sun,opposing
8 of cups,strength,opposing
8 of cups,hermit,reinforcing
8 of cups,death,reinforcing
8 of cups,3 of wands,reinforcing
8 of cups,8 of wands,reinforcing
8 of cups,6 of swords,reinforcing
7 of cups,magician,opposing
7 of cups,emperor,opposing
7 of cups,temperance,opposing
7 of cups,4 of coins,opposing
7 of cups,8 of coins,opposing
7 of cups,9 of coins,opposing
7 of cups,devil,reinforcing
7 of cups,moon,reinforcing
7 of cups,9 of cups,reinforcing
6 of cups,devil,opposing
6 of cups,9 of wands,opposing
6 of cups,5 of swords,opposing
6 of cups,7 of swords,opposing
6 of cups,9 of swords,opposing
6 of cups,star,reinforcing
6 of cups,10 of cups,reinforcing
5 of cups,lovers,opposing
5 of cups,judgment,opposing
5 of cups,6 of wands,opposing
5 of cups,2 of cups,opposing
5 of cups,9 of cups,opposing
5 of cups,death,reinforcing
5 of cups,3 of swords,reinforcing
5 of cups,6 of swords,reinforcing
5 of cups,5 of coins,reinforcing
4 of cups,world,opposing
4 of cups,4 of wands,opposing
4 of cups,2 of cups,opposing
4 of cups,8 of coins,opposing
4 of cups,hermit,reinforcing
4 of cups,4 of swords,reinforcing
4 of cups,6 of swords,reinforcing
3 of cups,hermit,opposing
3 of cups,9 of wands,opposing
3 of cups,3 of swords,opposing
3 of cups,6 of swords,opposing
3 of cups,9 of swords,opposing
3 of cups,hierophant,reinforcing
3 of cups,temperance,reinforcing
3 of cups,4 of wands,reinforcing
3 of cups,3 of coins,reinforcing
2 of cups,hermit,opposing
2 of cups,5 of wands,opposing
2 of cups,4 of cups,opposing
2 of cups,5 of cups,opposing
2 of cups,lovers,reinforcing
2 of cups,temperance,reinforcing
2 of cups,10 of cups,reinforcing
2 of coins,Hierophant,opposing
2 of coins,5 of wands,opposing
2 of coins,4 of swords,opposing
2 of coins,6 of swords,opposing
2 of coins,temperance,reinforcing
2 of coins,4 of wands,reinforcing
3 of coins,5 of wands,opposing
3 of coins,7 of wands,opposing
3 of coins,8 of wands,opposing
3 of coins,9 of coins,opposing
3 of coins,hierophant,reinforcing
3 of coins,temperance,reinforcing
3 of coins,3 of wands,reinforcing
3 of coins,3 of cups,reinforcing
4 of coins,fool,opposing
4 of coins,empress,opposing
4 of coins,wheel of fortune,opposing
4 of coins,hanged man,opposing
4 of coins,emperor,reinforcing
4 of coins,chariot,reinforcing
4 of coins,2 of swords,reinforcing
4 of coins,10 of coins,reinforcing
5 of coins,strength,opposing
5 of coins,temperance,opposing
5 of coins,sun,opposing
5 of coins,6 of wands,opposing
5 of coins,7 of coins,opposing
5 of coins,tower,reinforcing
5 of coins,10 of wands,reinforcing
5 of coins,5 of cups,reinforcing
5 of coins,3 of swords,reinforcing
6 of coins,empress,opposing
6 of coins,world,opposing
6 of coins,10 of wands,opposing
6 of coins,5 of coins,opposing
6 of coins,7 of coins,opposing
6 of coins,10 of coins,opposing
6 of coins,empress,reinforcing
6 of coins,world,reinforcing
6 of coins,10 of wands,reinforcing
6 of coins,5 of coins,reinforcing
6 of coins,7 of coins,reinforcing
6 of coins,10 of coins,reinforcing
7 of coins,wheel of fortune,opposing
7 of coins,8 of wands,opposing
7 of coins,5 of coins,opposing
7 of coins,empress,reinforcing
7 of coins,justice,reinforcing
7 of coins,judgment,reinforcing
7 of coins,4 of swords,reinforcing
8 of coins,4 of cups,opposing
8 of coins,7 of cups,opposing
8 of coins,magician,reinforcing
8 of coins,hierophant,reinforcing
8 of coins,9 of wands,eeinforcing
9 of coins,empress,opposing
9 of coins,7 of cups,opposing
9 of coins,3 of coins,opposing
9 of coins,chariot,reinforcing
9 of coins,7 of swords,reinforcing
10 of coins,2 of wands,opposing
10 of coins,3 of wands,opposing
10 of coins,5 of coins,opposing
10 of coins,empress,reinforcing
10 of coins,hierophant,reinforcing
10 of coins,lovers,reinforcing
10 of coins,world,reinforcing
10 of coins,4 of coins,reinforcing
2 of wands,high priestess,opposing
2 of wands,hierophant,opposing
2 of wands,8 of swords,opposing
2 of wands,10 of swords,opposing
2 of wands,10 of coins,opposing
2 of wands,magician,reinforcing
2 of wands,emperor,reinforcing
2 of wands,chariot,reinforcing
2 of wands,sun,reinforcing
3 of wands,2 of swords,opposing
3 of wands,10 of coins,opposing
3 of wands,fool,reinforcing
3 of wands,emperor,reinforcing
3 of wands,8 of cups,reinforcing
3 of wands,3 of coins,reinforcing
4 of wands,devil,opposing
4 of wands,10 of wands,opposing
4 of wands,4 of cups,opposing
4 of wands,6 of swords,opposing
4 of wands,8 of swords,opposing
4 of wands,3 of cups,reinforcing
4 of wands,2 of coins,reinforcing
5 of wands,temperance,opposing
5 of wands,world,opposing
5 of wands,2 of cups,opposing
5 of wands,3 of coins,opposing
5 of wands,2 of coins,opposing
5 of wands,7 of wands,reinforcing
5 of wands,10 of wands,reinforcing
5 of wands,5 of swords,reinforcing
6 of wands,tower,opposing
6 of wands,5 of cups,opposing
6 of wands,10 of swords,opposing
6 of wands,5 of coins,opposing
6 of wands,chariot,reinforcing
6 of wands,sun,reinforcing
6 of wands,9 of cups,reinforcing
7 of wands,high priestess,opposing
7 of wands,hanged man,opposing
7 of wands,3 of coins,opposing
7 of wands,5 of wands,reinforcing
7 of wands,9 of wands,reinforcing
7 of wands,5 of swords,reinforcing
8 of wands,high priestess,opposing
8 of wands,4 of swords,opposing
8 of wands,7 of coins,opposing
8 of wands,magician,reinforcing
8 of wands,wheel of fortune,reinforcing
8 of wands,death,reinforcing
8 of wands,8 of cups,reinforcing
9 of wands,3 of cups,opposing
9 of wands,6 of cups,opposing
9 of wands,8 of cups,opposing
9 of wands,strength,reinforcing
9 of wands,7 of wands,reinforcing
9 of wands,2 of swords,reinforcing
9 of wands,8 of coins,reinforcing
5 of wands,fool,opposing
5 of wands,hanged man,opposing
5 of wands,4 of wands,opposing
5 of wands,4 of swords,opposing
5 of wands,7 of swords,opposing
5 of wands,justice,reinforcing
5 of wands,5 of wands,reinforcing
5 of wands,6 of swords,reinforcing
5 of wands,9 of swords,reinforcing
5 of wands,5 of coins,reinforcing
2 of swords,fool,opposing
2 of swords,wheel of fortune,opposing
2 of swords,justice,opposing
2 of swords,star,opposing
2 of swords,3 of wands,opposing
2 of swords,moon,reinforcing
2 of swords,9 of wands,reinforcing
2 of swords,7 of swords,reinforcing
2 of swords,4 of coins,reinforcing
3 of swords,lovers,opposing
3 of swords,3 of cups,opposing
3 of swords,10 of cups,opposing
